N;Instance;Decoder;Total Distance;Time Spent;Alpha
N020;67;PositionalDecoderWithVehicleByPercentage;1601,42;361,67;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;1540,93;282,34;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;1476,46;299,91;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;1391,38;265,81;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;1243,28;289,38;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;1431,18;301,69;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;1186,09;324,33;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;1492,75;259,77;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;1530,12;329,68;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;1384,73;295,08;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;1453,83;288,66;Alpha1
N020;67;TimeDecoderWithVehicleByPercentage;1394,34;302,63;Alpha1
N020;69;PositionalDecoderWithVehicleByPercentage;1390,92;284,22;Alpha1
N020;69;PositionalDecoderWithVehicleByPercentage;1034,63;278,29;Alpha1
N020;69;PositionalDecoderWithVehicleByPercentage;1348,92;249,77;Alpha1
N020;69;PositionalDecoderWithVehicleByPercentage;1180,52;234,87;Alpha1
N020;69;PositionalDecoderWithVehicleByPercentage;1246,21;230,77;Alpha1
N020;69;PositionalDecoderWithVehicleByPercentage;1452,50;317,26;Alpha1
N020;69;PositionalDecoderWithVehicleByPercentage;1481,12;256,22;Alpha1
N020;69;PositionalDecoderWithVehicleByPercentage;1387,17;273,02;Alpha1
N020;69;PositionalDecoderWithVehicleByPercentage;1241,50;285,07;Alpha1
N020;69;PositionalDecoderWithVehicleByPercentage;1267,71;239,64;Alpha1
N020;69;TimeDecoderWithVehicleByPercentage;1479,27;261,39;Alpha1
N020;69;TimeDecoderWithVehicleByPercentage;1448,29;230,06;Alpha1
N020;69;TimeDecoderWithVehicleByPercentage;1562,35;287,43;Alpha1
N020;69;TimeDecoderWithVehicleByPercentage;1515,32;292,94;Alpha1
N020;69;TimeDecoderWithVehicleByPercentage;1276,14;244,77;Alpha1
N020;69;TimeDecoderWithVehicleByPercentage;1316,74;265,30;Alpha1
N020;69;TimeDecoderWithVehicleByPercentage;1605,54;294,81;Alpha1
N020;69;TimeDecoderWithVehicleByPercentage;1394,01;233,43;Alpha1
